"Date Reported","Project","Severity","Rule","Category","Line","File","Message"
"2026-03-29","GDC_Governance_2026","1","ApexSharingViolations","Security","1","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoGenrateDocketTwoController.cls","
Apex classes should declare a sharing model if DML or SOQL/SOSL is used
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","4","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoGenrateDocketTwoController.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","UnusedLocalVariable","Best Practices","63","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoGenrateDocketTwoController.cls","
Variable 'contentDocumentLinkIds' defined but not used
"
"2026-03-29","GDC_Governance_2026","1","ApexSharingViolations","Security","11","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoIDFYIntegration.cls","
Apex classes should declare a sharing model if DML or SOQL/SOSL is used
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","27","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoIDFYIntegration.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","33","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoIDFYIntegration.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","92","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoIMDPaymentCallback.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","145","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoIMDPaymentCallback.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","145","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoIMDPaymentCallback.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","29","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoIncomeAssessmentGetApplicants.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","18","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoInitialMoneyDeposiController.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","94","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoInitialMoneyDeposiController.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","107","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoInitialMoneyDeposiController.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","121","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoInitialMoneyDeposiController.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","139","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoInitialMoneyDeposiController.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","165","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoInitialMoneyDeposiController.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","166","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoInitialMoneyDeposiController.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","167","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoInitialMoneyDeposiController.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
"2026-03-29","GDC_Governance_2026","1","ApexCRUDViolation","Security","188","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/classes/AxisNanoInitialMoneyDeposiController.cls","
Validate CRUD permission before SOQL/DML operation or enforce user mode
"
